Date,Currency,Base,Counter,Cropto,Price,Percent,rAlign
2017-12-21 00:55:00,페더코인,FTC,BTC,0.00002469,546 KRW,+2.19%,64.516
2017-12-21 00:55:00,윙스다오,WINGS,BTC,0.00005275,"1,166 KRW",+9.08%,63.658
2017-12-21 00:55:00,클록코인,CLOAK,BTC,0.00085624,"18,923 KRW",-8.75%,63.084
2017-12-21 00:55:00,트랜스퍼코인,TX,BTC,0.00020004,"4,421 KRW",-5.22%,59.245
2017-12-21 00:55:00,시베리안체르보네츠,SIB,BTC,0.00018877,"4,172 KRW",-3.16%,58.029
2017-12-21 00:55:00,이드니아고라스,AGRS,BTC,0.00011741,"2,595 KRW",+1.26%,48.431
2017-12-21 00:55:00,모네터리유닛,MUE,BTC,0.00001748,386 KRW,+4.86%,47.045
2017-12-21 00:55:00,시프트,SHIFT,BTC,0.00020723,"4,580 KRW",+3.61%,47.025
2017-12-21 00:55:00,스웜시티토큰,SWT,BTC,0.00014912,"3,296 KRW",-1.98%,43.182
2017-12-21 00:55:00,애드토큰,ADT,BTC,0.00000274,60.55 KRW,+5.38%,37.586
2017-12-21 00:55:00,블록넷,BLOCK,BTC,0.00172725,"38,172 KRW",-8.28%,32.803
2017-12-21 00:55:00,스피어,SPHR,BTC,0.00029945,"6,618 KRW",-0.21%,30.906
2017-12-21 00:55:00,아이온,ION,BTC,0.00014864,"3,285 KRW",-5.71%,25.322
2017-12-21 00:55:00,살루스,SLS,BTC,0.00185818,"41,066 KRW",-2.19%,21.185
2017-12-21 00:55:00,비트센드,BSD,BTC,0.00007962,"1,760 KRW",-1.98%,20.017
2017-12-21 00:55:00,싸우럼,XAUR,BTC,0.00000915,202 KRW,+1.55%,12.289
2017-12-21 00:55:00,비트코인캐시,BCC,ETH,4.68888889,"4,993,667 KRW",+41.55%,"51,212.376"
2017-12-21 00:55:00,리플,XRP,ETH,0.00088764,945 KRW,-3.09%,"7,781.777"
2017-12-21 00:55:00,라이트코인,LTC,ETH,0.38699999,"412,155 KRW",-9.30%,"6,175.999"
2017-12-21 00:55:00,비트코인골드,BTG,ETH,0.49966339,"532,142 KRW",+24.92%,"6,005.818"
2017-12-21 00:55:00,스테이터스네트워크토큰,SNT,ETH,0.00022748,242 KRW,-8.64%,"5,611.815"
2017-12-21 00:55:00,모네로,XMR,ETH,0.57191852,"609,093 KRW",+29.10%,"5,596.502"
2017-12-21 00:55:00,퀀텀,QTUM,ETH,0.06897302,"73,456 KRW",-10.76%,"5,514.616"
2017-12-21 00:55:00,대시,DASH,ETH,1.79999995,"1,917,000 KRW",+26.48%,"4,987.815"
