Id,Name,Currency,Base,Counter,Volume($),Price($),Volume(%),Date
165, Bittrex ,Cardano,ADA,ETH,"3,937,270",0.474588,0.09%,2017-12-21
166, Bittrex ,Dash,DASH,ETH,"3,908,690",1478.37,0.09%,2017-12-21
167, Bittrex ,NEO,NEO,ETH,"3,659,190",69.32,0.09%,2017-12-21
168, Bittrex ,FirstBlood,1ST,BTC,"3,590,660",0.662708,0.08%,2017-12-21
169, Bittrex ,Matchpool,GUP,BTC,"3,477,630",0.636542,0.08%,2017-12-21
170, Bittrex ,Viberate,VIB,BTC,"3,374,090",0.227288,0.08%,2017-12-21
171, Bittrex ,Blocktix,TIX,BTC,"3,361,970",1.32,0.08%,2017-12-21
172, Bittrex ,Nexus,NXS,BTC,"3,293,100",4.22,0.08%,2017-12-21
173, Bittrex ,ZenCash,ZEN,BTC,"3,278,350",36.77,0.08%,2017-12-21
174, Bittrex ,Byteball Bytes,GBYTE,BTC,"3,264,060",549.51,0.08%,2017-12-21
175, Bittrex ,DECENT,DCT,BTC,"3,222,050",1.21,0.08%,2017-12-21
176, Bittrex ,iExec RLC,RLC,BTC,"3,220,230",1.17,0.08%,2017-12-21
177, Bittrex ,NuBits,NBT,BTC,"3,154,230",0.979269,0.07%,2017-12-21
178, Bittrex ,Cofound.it,CFI,BTC,"3,105,810",0.210014,0.07%,2017-12-21
179, Bittrex ,Memetic / PepeCoin,MEME,BTC,"3,103,460",0.803117,0.07%,2017-12-21
180, Bittrex ,Ethereum Classic,ETC,ETH,"3,022,790",40.04,0.07%,2017-12-21
181, Bittrex ,Internet of People,IOP,BTC,"2,982,620",6.23,0.07%,2017-12-21
182, Bittrex ,OmiseGO,OMG,ETH,"2,865,170",17.80,0.07%,2017-12-21
183, Bittrex ,GameCredits,GAME,BTC,"2,761,280",3.39,0.06%,2017-12-21
184, Bittrex ,Factom,FCT,BTC,"2,752,070",42.58,0.06%,2017-12-21
185, Bittrex ,Zcash,ZEC,ETH,"2,728,510",625.67,0.06%,2017-12-21
186, Bittrex ,UnbreakableCoin,UNB,BTC,"2,673,760",1.62,0.06%,2017-12-21
187, Bittrex ,Viacoin,VIA,BTC,"2,573,290",3.62,0.06%,2017-12-21
188, Bittrex ,DigitalNote,XDN,BTC,"2,297,040",0.010603,0.05%,2017-12-21
189, Bittrex ,BlackCoin,BLK,BTC,"2,211,100",0.595668,0.05%,2017-12-21
190, Bittrex ,Stellar,XLM,ETH,"2,127,180",0.249389,0.05%,2017-12-21
191, Bittrex ,Synereo,AMP,BTC,"2,042,290",0.456627,0.05%,2017-12-21
192, Bittrex ,MaidSafeCoin,MAID,BTC,"2,003,610",0.882642,0.05%,2017-12-21
193, Bittrex ,Enigma,ENG,BTC,"1,958,000",0.979611,0.05%,2017-12-21
194, Bittrex ,VeriCoin,VRC,BTC,"1,880,800",1.02,0.04%,2017-12-21
195, Bittrex ,Numeraire,NMR,BTC,"1,853,970",27.58,0.04%,2017-12-21
